order_id,order_date,region,product,channel,customer,units,unit_price,revenue,is_renewal
ORD-000001,2025-10-16,North America,Starter,Self-serve,"Rodriguez, Figueroa and Sanchez",4,44.93,179.72,False
ORD-000002,2025-11-23,MEA,Starter,Outbound,Doyle Ltd,1,42.09,42.09,True
ORD-000003,2025-06-01,MEA,Starter,Partner,"Mcclain, Miller and Henderson",12,51.2,614.4,False
ORD-000004,2024-08-13,Latin America,Growth,Direct,Davis and Sons,3,210.83,632.49,False
ORD-000005,2024-06-08,Europe,Add-on: Analytics,Self-serve,"Guzman, Hoffman and Baldwin",2,86.9,173.8,True
ORD-000006,2024-12-18,MEA,Starter,Direct,"Gardner, Robinson and Lawrence",12,48.4,580.8,True
ORD-000007,2025-01-22,North America,Growth,Self-serve,Blake and Sons,10,180.63,1806.3,True
ORD-000008,2025-11-08,Europe,Scale,Direct,"Henderson, Ramirez and Lewis",4,553.86,2215.44,False
ORD-000009,2025-04-09,Asia Pacific,Starter,Self-serve,Garcia-James,4,51.5,206.0,False
ORD-000010,2025-11-30,North America,Growth,Partner,Abbott-Munoz,9,212.68,1914.12,True
ORD-000011,2025-01-23,Asia Pacific,Add-on: AI,Partner,Blair PLC,11,141.15,1552.65,False
ORD-000012,2024-02-27,Europe,Scale,Self-serve,Dudley Group,7,464.23,3249.61,True
ORD-000013,2025-08-03,Asia Pacific,Starter,Outbound,Arnold Ltd,7,54.65,382.55,False
ORD-000014,2024-05-26,Asia Pacific,Starter,Self-serve,"Mcclure, Ward and Lee",12,50.24,602.88,False
ORD-000015,2025-02-12,Asia Pacific,Starter,Partner,Williams and Sons,9,48.9,440.1,False
ORD-000016,2024-04-22,Europe,Growth,Outbound,Galloway-Wyatt,10,172.94,1729.4,False
ORD-000017,2025-04-24,MEA,Starter,Direct,James Group,11,52.24,574.64,False
ORD-000018,2025-07-03,Asia Pacific,Scale,Self-serve,"Flowers, Martin and Kelly",2,468.09,936.18,True
ORD-000019,2024-01-04,Asia Pacific,Add-on: AI,Partner,"Adams, Zuniga and Wong",9,167.44,1506.96,False
ORD-000020,2024-11-01,MEA,Growth,Partner,"Reid, Ferguson and Sanchez",6,214.67,1288.02,False
ORD-000021,2026-03-08,MEA,Add-on: Analytics,Self-serve,Gray-Mayo,8,84.73,677.84,False
ORD-000022,2024-11-10,Europe,Starter,Direct,"Watts, Robinson and Nguyen",2,52.41,104.82,False
ORD-000023,2026-02-17,MEA,Scale,Partner,Perez Inc,11,495.3,5448.3,False
ORD-000024,2024-09-28,MEA,Enterprise,Outbound,Morales-Jones,4,1691.88,6767.52,False
ORD-000025,2025-12-07,Europe,Scale,Outbound,"Walter, Edwards and Rios",11,521.44,5735.84,False
ORD-000026,2025-06-13,Latin America,Starter,Partner,Wilkerson-Day,2,46.62,93.24,False
ORD-000027,2024-08-23,MEA,Starter,Direct,Baker and Sons,12,50.93,611.16,True
ORD-000028,2024-02-02,Asia Pacific,Starter,Partner,"Hoffman, Baker and Richards",5,51.48,257.4,True
ORD-000029,2024-05-15,MEA,Growth,Partner,"Ross, Robinson and Bright",8,217.36,1738.88,True
ORD-000030,2024-04-09,Latin America,Growth,Outbound,"Snyder, Campos and Callahan",8,220.72,1765.76,True
ORD-000031,2025-10-31,North America,Starter,Self-serve,Burton Ltd,2,45.31,90.62,True
ORD-000032,2025-04-04,Europe,Growth,Self-serve,Carlson-Cruz,8,184.06,1472.48,False
ORD-000033,2025-03-29,MEA,Starter,Direct,"Ferrell, Rice and Maddox",2,55.27,110.54,False
ORD-000034,2024-06-19,Latin America,Growth,Partner,Frazier Inc,7,223.03,1561.21,True
ORD-000035,2024-01-03,Latin America,Starter,Outbound,"Dyer, Potter and Mack",5,47.87,239.35,False
ORD-000036,2026-03-13,MEA,Scale,Outbound,Rodriguez-Graham,3,452.58,1357.74,True
ORD-000037,2024-02-29,MEA,Scale,Direct,Smith-Bowen,12,471.1,5653.2,True
ORD-000038,2025-05-03,MEA,Add-on: Analytics,Partner,"Baker, Mason and White",1,112.69,112.69,True
ORD-000039,2024-07-09,North America,Growth,Partner,Harrell LLC,7,176.31,1234.17,False
ORD-000040,2024-09-09,MEA,Growth,Direct,"Romero, Gonzalez and Brooks",7,208.4,1458.8,False
ORD-000041,2024-11-19,Asia Pacific,Starter,Self-serve,Ryan PLC,4,45.55,182.2,True
ORD-000042,2025-10-22,Asia Pacific,Growth,Direct,George Group,1,196.51,196.51,False
ORD-000043,2024-04-12,North America,Growth,Self-serve,Rodriguez LLC,3,224.87,674.61,False
ORD-000044,2024-09-07,Asia Pacific,Starter,Outbound,Allen-Allen,9,51.99,467.91,False
ORD-000045,2025-10-31,MEA,Starter,Self-serve,"Arroyo, Miller and Tucker",11,43.17,474.87,False
ORD-000046,2024-09-27,North America,Enterprise,Partner,Spence PLC,5,1400.86,7004.3,True
ORD-000047,2024-12-17,Europe,Scale,Self-serve,Anderson Group,9,497.28,4475.52,False
ORD-000048,2024-02-22,North America,Growth,Self-serve,"Martin, Rose and Obrien",1,169.36,169.36,False
ORD-000049,2025-10-14,Asia Pacific,Starter,Outbound,Hickman Ltd,9,52.02,468.18,False
ORD-000050,2024-04-24,North America,Add-on: Analytics,Partner,"Harris, Collins and Carney",9,85.22,766.98,False
ORD-000051,2025-07-19,Europe,Growth,Direct,"Brooks, Lam and Hayes",5,190.92,954.6,False
ORD-000052,2024-02-10,Asia Pacific,Starter,Partner,Walker LLC,11,43.16,474.76,False
ORD-000053,2025-02-20,MEA,Scale,Partner,Chapman and Sons,3,570.29,1710.87,False
ORD-000054,2025-02-26,North America,Starter,Self-serve,"Robinson, Jones and Welch",7,53.44,374.08,False
ORD-000055,2024-09-11,Asia Pacific,Starter,Direct,Jones Inc,7,54.47,381.29,False
ORD-000056,2024-08-15,Europe,Scale,Outbound,Jones-Young,6,469.84,2819.04,False
ORD-000057,2024-08-21,Europe,Starter,Partner,"Washington, Ryan and Cummings",7,46.48,325.36,False
ORD-000058,2026-03-02,Asia Pacific,Growth,Outbound,"Johnston, Sanchez and Kennedy",11,227.72,2504.92,False
ORD-000059,2024-01-29,North America,Enterprise,Self-serve,Lee-Davis,3,1535.24,4605.72,False
